Company,Slogan,Slogan_clean,Category
Costa Coffee,For coffee lovers.,For coffee lovers.,Food & Beverage
Evian,Evian. Live young.,Evian. Live young.,General
Dasani,Designed to make a difference.,Designed to make a difference.,General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
TÃ­o Pepe,Good food tastes better after a glass of Tio Pepe,Good food tastes better after a glass of Tio Pepe,General
Tetley's Brewery,Don't Do Things By Halves.,Don't Do Things By Halves.,General
Batemans Brewery,Good Honest Ales,Good Honest Ales,General
Jones Soda,Run with the little guyâ¦ create some change.,Run with the little guyâ¦ create some change.,General
Grapette,Thirsty or Not.,Thirsty or Not.,General
Jif (lemon juice),juice in a jiffy.,juice in a jiffy.,Food & Beverage
Royal Tru,Bring out the crazy!,Bring out the crazy!,General
Oronamin,Genki hatsuratsu.,Genki hatsuratsu.,General
Culligan,Hey Culligan!,Hey Culligan!,General
Belvedere Vodka,Belvedere Always Goes Down Smoothly.,Belvedere Always Goes Down Smoothly.,Food & Beverage
Wodka Gorbatschow,The Pure Spirit of Vodka.,The Pure Spirit of Vodka.,General
White Horse (whisky),you can take a white horse anywhere.,you can take a white horse anywhere.,General
Grand Old Parr,Make friends with Old Parr.,Make friends with Old Parr.,General
Clan Gregor,Royal is my race.,Royal is my race.,General
Finlandia (vodka),Vodka from a Purer Place.,Vodka from a Purer Place.,Food & Beverage
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Pizza Hut,Make it great.,Make it great.,General
Head & Shoulders,Live head first.,Live head first.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
NIVEA,More evolved skincare.,More evolved skincare.,General
Snickers,Get some nuts!,Get some nuts!,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Lipton,Be more tea.,Be more tea.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Beam Suntory,"For relaxing times, make it Suntory time.","For relaxing times, make it Suntory time.",General
Live+,Sharpen Up!,Sharpen Up!,General
Pussy (energy drink),100% natural.,100% natural.,General
Tango (drink),The Whole Fruit.,The Whole Fruit.,General
Tizer,The Great British Pop.,The Great British Pop.,General
Dr. Enuf,Enuf is Enough!,Enuf is Enough!,General
ToniCol,the different soft drink.,the different soft drink.,General
Campa Cola,The Great Indian Taste.,The Great Indian Taste.,Food & Beverage
Mezzo Mix,Cola Kisses orange.,Cola Kisses orange.,General
Bluna,How Bluna are you?,How Bluna are you?,General
Bionade,The official beverage of a better world.,The official beverage of a better world.,General
Oasis (drink),Be Fruit.,Be Fruit.,General
Slice (drink),"It's orange, only twisted.","It's orange, only twisted.",General
Rondo (soft drink),The Thirst Crusher!,The Thirst Crusher!,General
OK Soda,Everything is going to be OK.,Everything is going to be OK.,General
Jolt Cola,"All the sugar, twice the caffeine!","All the sugar, twice the caffeine!",Food & Beverage
Crystal Pepsi,You've never seen a taste like this.,You've never seen a taste like this.,Food & Beverage
Robinsons (drink),Real Fruit in Every Drop.,Real Fruit in Every Drop.,General
Yazoo (drink),Milk shaken up.,Milk shaken up.,General
Bubble Up,"kiss of lemon, kiss of lime.","kiss of lemon, kiss of lime.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Pizza Hut,Make it great.,Make it great.,General
Head & Shoulders,Live head first.,Live head first.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
NIVEA,More evolved skincare.,More evolved skincare.,General
Snickers,Get some nuts!,Get some nuts!,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Lipton,Be more tea.,Be more tea.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Mecca-Cola,Shake your Conscience.,Shake your Conscience.,Food & Beverage
SodaStream,Get busy with the fizzy.,Get busy with the fizzy.,General
Monster Energy,Unleash the Beast.,Unleash the Beast.,General
Dr. Brown's,Taste of the Town.,Taste of the Town.,General
Cheerwine,Uniquely Southern.,Uniquely Southern.,General
Vernors,Deliciously Different.,Deliciously Different.,General
Gini (soft drink),The hottest of cold drinks.,The hottest of cold drinks.,General
Moxie,Just Make It Moxie for Mine.,Just Make It Moxie for Mine.,General
Mello Yello,Make The Mello Yello Move.,Make The Mello Yello Move.,General
Limca,It's veri veri Lime & Lemoni.,It's veri veri Lime & Lemoni.,General
Lilt,the totally tropical taste.,the totally tropical taste.,General
Inca Kola,Let's go for more.,Let's go for more.,General
Fresca,Nothing tastes like Fresca.,Nothing tastes like Fresca.,General
Barq's,Barq's has bite!,Barq's has bite!,General
Pepsi Zero Sugar,Get Buckets.,Get Buckets.,Food & Beverage
Horlicks,the food drink of the night.,the food drink of the night.,General
Woodroofe,Still the best lemonade made.,Still the best lemonade made.,General
Konig's Westphalian Gin,The only perfect gin.,The only perfect gin.,General
Evoca Cola,The original Black Seed Cola.,The original Black Seed Cola.,Food & Beverage
Jolly Cola,Free your taste.,Free your taste.,Food & Beverage
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Pizza Hut,Make it great.,Make it great.,General
Head & Shoulders,Live head first.,Live head first.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
NIVEA,More evolved skincare.,More evolved skincare.,General
Snickers,Get some nuts!,Get some nuts!,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Lipton,Be more tea.,Be more tea.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Sunkist (soft drink),Good Vibrations.,Good Vibrations.,General
Pluto Water,"When Nature Won't, PLUTO Will.","When Nature Won't, PLUTO Will.",General
Shasta (soft drink),It hasta be Shasta!,It hasta be Shasta!,General
Taut,The first clean sports drink.,The first clean sports drink.,General
Codorniu,The Culture of Pleasure.,The Culture of Pleasure.,General
Jacob's Creek,Say when.,Say when.,General
Wolf Blass,Australian wine at its peak.,Australian wine at its peak.,General
Sutter Home Winery,Taste the Commitment.,Taste the Commitment.,General
Blavod,Outrageously Smooth.,Outrageously Smooth.,General
Patron Tequila,Simply perfect.,Simply perfect.,General
Malibu (rum),Seriously easy going.,Seriously easy going.,General
Tanqueray,Ready to Tanqueray?,Ready to Tanqueray?,General
Dreher Breweries,Itâs whatâs inside that truly counts.,Itâs whatâs inside that truly counts.,General
Staropramen Brewery,Get A Taste Of Prague.,Get A Taste Of Prague.,General
Adnams,"Southwold, by the pint.","Southwold, by the pint.",General
Carlton Cold,Nothingâs as fresh as a Coldie.,Nothingâs as fresh as a Coldie.,General
Schaefer Beer,Americaâs Oldest Lager Beer.,Americaâs Oldest Lager Beer.,Food & Beverage
Minute Maid,Loaded with Taste.,Loaded with Taste.,General
Harp Lager,Look on the Harp side.,Look on the Harp side.,General
Poland Spring,Born Better.,Born Better.,General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Pizza Hut,Make it great.,Make it great.,General
Head & Shoulders,Live head first.,Live head first.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
NIVEA,More evolved skincare.,More evolved skincare.,General
Snickers,Get some nuts!,Get some nuts!,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Lipton,Be more tea.,Be more tea.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Appy Fizz,Cool Drink to Hang Around With.,Cool Drink to Hang Around With.,General
Joseph Schlitz Brewing Company,The beer that made Milwaukee famous.,The beer that made Milwaukee famous.,General
Frooti,Juice Up your Life.,Juice Up your Life.,General
Cointreau,Be cointreauversial.,Be cointreauversial.,General
Disaronno,Taste the seduction,Taste the seduction,General
Norrlands Guld,Be yourself for a while,Be yourself for a while,General
Mackeson Beer,king of the night.,king of the night.,Food & Beverage
Tuborg,Beer YOURSELF,Beer YOURSELF,General
Cafe Britt,From our plantation to your cup!,From our plantation to your cup!,General
Boost (drink),Refresh yourself.,Refresh yourself.,General
Shloer,Get your sparkle!,Get your sparkle!,General
Grey Goose (vodka),The worldâs best tasting vodka.,The worldâs best tasting vodka.,Food & Beverage
Ballantine's,Play in moderation.,Play in moderation.,General
Jose Cuervo,Donât let go.,Donât let go.,General
Black Velvet (whisky),Feel the Velvet,Feel the Velvet,General
Houghton Wines,Perfect for when friends drop in.,Perfect for when friends drop in.,General
Lindeman's,You make me smile.,You make me smile.,General
United Breweries,The King of Good Times.,The King of Good Times.,General
Caribou Coffee,Stay awake for it,Stay awake for it,Food & Beverage
RicorÃ©,Friend RicorÃ©.,Friend RicorÃ©.,General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Pizza Hut,Make it great.,Make it great.,General
Head & Shoulders,Live head first.,Live head first.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
NIVEA,More evolved skincare.,More evolved skincare.,General
Snickers,Get some nuts!,Get some nuts!,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Lipton,Be more tea.,Be more tea.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Horn & Hardart,Less Work for Mother.,Less Work for Mother.,General
High Point (coffee),Decaffeinate the ones you love.,Decaffeinate the ones you love.,Food & Beverage
Guglielmo coffee,the coffee that hits the spot.,the coffee that hits the spot.,Food & Beverage
Postum,There's a Reason.,There's a Reason.,General
MiO,Flip it. Tip it. Sip it!,Flip it. Tip it. Sip it!,General
Gold Spot,The Zing Thing.,The Zing Thing.,General
Frugo,Let's Frugo.,Let's Frugo.,General
Double Diamond Beer,Iâm only here for the beer.,Iâm only here for the beer.,Food & Beverage
Gilbey's gin,Taste the smoothest gin today.,Taste the smoothest gin today.,General
Go Fast!,Pure Energy.,Pure Energy.,General
Haig (whisky),"Donât Be Vague, Ask For A Haig.","Donât Be Vague, Ask For A Haig.",General
A Twosome Place,"A cup of coffee, TWO of us","A cup of coffee, TWO of us",General
Tiger Energy Drink,Power is back!,Power is back!,General
Um Bongo,The great flavour of the jungle,The great flavour of the jungle,General
Super Bock,The beer that goes beyond your expectations,The beer that goes beyond your expectations,General
Bell's whisky,Afore ye go.,Afore ye go.,General
Irn-Bru,Gets you through.,Gets you through.,General
Apollinaris (water),âThe Queen of Table Waters.,âThe Queen of Table Waters.,General
Licher Brewery,From the Heart of Nature,From the Heart of Nature,General
Bitburger Brewery,Bitte ein Bit.,Bitte ein Bit.,General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Pizza Hut,Make it great.,Make it great.,General
Head & Shoulders,Live head first.,Live head first.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
